  date   ending_time  yb mb db hb mb ye me de he me   umoy      vmoy      vhmoy      vmod      vdir      wmoy      tsmoy     tm_b    rh_b       rapmel  pression     rgd       rgm       rird      rirm       rnet      trad      KH20      tbatt     ubatt    varu         varv         varw         varts     covwu      corwu         covwv        corwv      covwts      corwts         svh         sw         sts        vhwts    precip   tm_h        rh_h    rapmel_h
01/12/10 00:29:59.937 10 12  1  0  0 10 12  1  0 29      0.49     -1.23      1.37      1.32    111.89      0.05      6.24      4.24     85.47      4.54    975.75     -2.22      2.51    251.73    318.67    -71.68      1.67     55.10      4.84     12.30  0.5711E+00  0.5023E+00  0.8902E-02  0.2714E-01  0.1093E-01  0.1532E+00 -0.7812E-02 -0.1168E+00 -0.2950E-02 -0.1898E+00  0.2127E+00  0.4213E-04 -0.9142E-03 -0.1865E-02      0.00      4.23     82.23      4.36
01/12/10 00:59:59.948 10 12  1  0 30 10 12  1  0 59      1.53     -0.24      2.07      1.55    171.00      0.01      5.76      3.79     87.64      4.50    975.97     -2.09      1.88    257.41    318.24    -64.81      1.56     54.49      4.38     12.29  0.1605E+00  0.1956E+01  0.2419E-01  0.2548E-01 -0.2248E-01 -0.3608E+00  0.4118E-01  0.1893E+00 -0.1265E-02 -0.5095E-01  0.7701E+00  0.1082E-02 -0.1577E-03 -0.3765E-02      0.00      3.68     84.17      4.29
01/12/10 01:29:59.961 10 12  1  1  0 10 12  1  1 29      0.82      1.48      1.90      1.69    240.87      0.07      4.90      3.10     88.01      4.31    975.97     -2.77      1.49    257.21    317.47    -64.53      1.06     58.46      4.07     12.30  0.1252E+01  0.5730E+00  0.1341E+00  0.1099E+00  0.1729E-01  0.4219E-01  0.4585E-02  0.1654E-01  0.6693E-02  0.5512E-01  0.8137E-01 -0.4687E-01  0.3299E-01 -0.1032E-01      0.00      2.88     84.71      4.08
01/12/10 01:59:59.976 10 12  1  1 30 10 12  1  1 59      0.46      1.07      1.36      1.17    246.62     -0.01      4.43      2.47     88.13      4.12    975.95     -2.58      2.07    248.60    314.41    -70.45      0.20     61.75      3.51     12.31  0.4281E+00  0.3409E+00  0.1279E+00  0.1379E-01 -0.7124E-01 -0.3045E+00 -0.5183E-01 -0.2483E+00  0.2846E-02  0.6777E-01  0.8293E-01 -0.3797E-02  0.4480E-03 -0.1445E-02      0.00      2.19     85.39      3.91
01/12/10 02:29:59.989 10 12  1  2  0 10 12  1  2 29      0.80      0.95      1.37      1.24    230.04     -0.04      4.50      2.53     87.99      4.13    976.18     -1.33      1.81    277.78    316.21    -41.57      0.29     61.62      3.12     12.30  0.1007E+01  0.8467E+00  0.6766E-01  0.1158E-01  0.5192E-01  0.1989E+00  0.4598E-01  0.1921E+00 -0.3060E-02 -0.1093E+00  0.5724E+00 -0.1045E-02  0.3479E-04 -0.1099E-02      0.00      2.27     85.47      3.94
01/12/10 02:59:59.900 10 12  1  2 30 10 12  1  2 59      0.68      0.19      0.90      0.70    195.46     -0.02      4.48      2.53     87.89      4.13    976.15     -1.71      1.66    273.49    315.86    -45.74      0.27     61.08      3.14     12.29  0.8776E-01  0.2883E+00  0.1834E-01  0.9010E-02 -0.8189E-02 -0.2041E+00 -0.9372E-02 -0.1289E+00  0.3567E-02  0.2775E+00 -0.3205E-01  0.6103E-03  0.5462E-03  0.9305E-03      0.00      2.27     85.44      3.94
01/12/10 03:29:59.913 10 12  1  3  0 10 12  1  3 29      0.87     -0.58      1.14      1.04    146.53     -0.04      4.42      2.48     88.19      4.13    976.09     -0.75      1.25    299.26    317.92    -20.65      0.45     60.68      3.17     12.31  0.7652E-01  0.1621E+00  0.1743E-01  0.6989E-02 -0.5600E-02 -0.1533E+00  0.7485E-02  0.1408E+00 -0.1941E-02 -0.1759E+00  0.7475E-02 -0.1563E-03  0.3865E-03  0.7820E-03      0.00      2.26     85.60      3.94
01/12/10 03:59:59.925 10 12  1  3 30 10 12  1  3 59      0.60     -0.73      1.31      0.94    129.38     -0.02      4.62      2.67     88.56      4.20    976.09     -0.71      0.83    309.44    320.48    -12.58      0.88     60.84      3.46     12.31  0.2205E+00  0.5937E+00  0.2769E-01  0.9801E-02 -0.1223E-01 -0.1565E+00  0.1907E-01  0.1487E+00 -0.2791E-02 -0.1694E+00  0.1589E+00  0.9288E-03 -0.4338E-03 -0.2147E-02      0.00      2.42     85.82      4.00
01/12/10 04:29:59.941 10 12  1  4  0 10 12  1  4 29      0.18     -0.67      0.89      0.70    105.03     -0.04      4.54      2.66     88.65      4.20    975.99     -1.04      0.70    303.04    320.40    -19.10      0.94     59.27      3.71     12.32  0.3689E+00  0.4077E+00  0.3317E-01  0.6994E-02 -0.1563E-01 -0.1413E+00  0.1597E-01  0.1373E+00  0.2119E-02  0.1391E+00  0.1231E-01  0.7689E-03  0.5848E-03  0.6354E-03      0.00      2.38     85.96      3.99
01/12/10 04:59:59.956 10 12  1  4 30 10 12  1  4 59     -0.15      0.68      0.84      0.70    282.54      0.06      5.08      3.09     88.63      4.33    976.08     -0.80      1.34    295.74    321.19    -27.59      1.13     61.60      3.88     12.31  0.1782E+00  0.2155E+00  0.6849E-01  0.4341E-01 -0.2255E-01 -0.2041E+00 -0.2990E-01 -0.2461E+00  0.1054E-01  0.1933E+00  0.4519E-01 -0.6162E-02 -0.6563E-02 -0.4510E-02      0.00      2.74     86.27      4.11
